Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 2,300.0 MHz
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf
Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|               ns/op |                op/s |    err% |     total | benchmark
|--------------------:|--------------------:|--------:|----------:|:----------
|              332.36 |        3,008,791.93 |    0.2% |      0.12 | `float constexpr fit`
|              793.37 |        1,260,450.20 |    0.1% |      0.12 | `float coefficient-count fit`
|            1,711.72 |          584,208.03 |    0.2% |      0.12 | `float eps fit`
|                1.41 |      710,474,193.56 |    0.1% |      0.12 | `float eval`
|                0.27 |    3,671,587,286.40 |    1.5% |      0.12 | `float eval_many`
|              354.30 |        2,822,492.52 |    0.0% |      0.12 | `double constexpr fit`
|              910.99 |        1,097,710.31 |    0.3% |      0.12 | `double coefficient-count fit`
|            1,765.02 |          566,566.73 |    0.2% |      0.12 | `double eps fit`
|                1.41 |      709,087,385.38 |    0.0% |      0.12 | `double eval`
|                0.49 |    2,042,866,842.22 |    0.7% |      0.12 | `double eval_many`
|              476.96 |        2,096,622.16 |    0.2% |      0.12 | `complex<double> constexpr fit`
|            1,101.58 |          907,785.58 |    0.3% |      0.12 | `complex<double> coefficient-count fit`
|            2,007.84 |          498,047.05 |    0.3% |      0.12 | `complex<double> eps fit`
|                1.90 |      524,952,521.22 |    0.7% |      0.12 | `complex<double> eval`
|                0.83 |    1,199,662,175.25 |    0.1% |      0.12 | `complex<double> eval_many`
|              435.81 |        2,294,568.62 |    0.3% |      0.12 | `complex<float> constexpr fit`
|            1,019.16 |          981,203.22 |    0.2% |      0.12 | `complex<float> coefficient-count fit`
|            7,719.89 |          129,535.53 |    0.1% |      0.12 | `complex<float> eps fit`
|                2.80 |      357,622,435.01 |    0.1% |      0.12 | `complex<float> eval`
|                0.46 |    2,193,301,879.36 |    0.2% |      0.12 | `complex<float> eval_many`
