Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|            ns/build |             build/s |    err% |     total | fitting time
|--------------------:|--------------------:|--------:|----------:|:-------------
|           82,266.87 |           12,155.56 |    0.2% |      0.12 | `F:ℝ²→ℝ², D=16 build`
|          107,086.68 |            9,338.23 |    0.2% |      0.12 | `F:ℝ²→ℝ³, D=16 build`
|          414,870.35 |            2,410.39 |    0.1% |      0.12 | `F:ℝ³→ℝ³, D=8 build`
|          528,916.55 |            1,890.66 |    0.1% |      0.12 | `F:ℝ³→ℝ⁴, D=8 build`

|             ns/eval |              eval/s |    err% |     total | throughput (single x)
|--------------------:|--------------------:|--------:|----------:|:----------------------
|               82.64 |       12,100,260.86 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16`
|              171.85 |        5,819,112.16 |    0.2% |      0.24 | `F:ℝ²→ℝ³, D=16`
|              364.39 |        2,744,308.62 |    0.1% |      0.24 | `F:ℝ³→ℝ³, D=8`
|              197.15 |        5,072,289.29 |    0.1% |      0.24 | `F:ℝ³→ℝ⁴, D=8`
|               80.25 |       12,460,356.52 |    0.4% |      0.24 | `F:ℝ²→ℝ², D=16 generic point`
|               80.07 |       12,489,354.73 |    0.4% |      0.24 | `F:ℝ²→ℝ², D=16 canonical point`
|               79.82 |       12,528,030.01 |    0.3% |      0.24 | `F:ℝ²→ℝ², D=16 array`
|               81.79 |       12,226,590.04 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 variadic`
|           85,313.52 |           11,721.47 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 manual loop`
|           35,911.84 |           27,845.97 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 canonical batch`
|           85,235.34 |           11,732.22 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 generic loop`
|           80,643.43 |           12,400.27 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 container batch`
