Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 2,600.0 MHz
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf
Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|            ns/build |             build/s |    err% |     total | fitting time
|--------------------:|--------------------:|--------:|----------:|:-------------
|           40,679.92 |           24,582.15 |    0.1% |      0.12 | `F:ℝ²→ℝ², D=16 build`
|           57,289.35 |           17,455.25 |    0.1% |      0.12 | `F:ℝ²→ℝ³, D=16 build`
|          186,990.33 |            5,347.87 |    0.1% |      0.12 | `F:ℝ³→ℝ³, D=8 build`
|          248,314.51 |            4,027.15 |    0.0% |      0.12 | `F:ℝ³→ℝ⁴, D=8 build`

|             ns/eval |              eval/s |    err% |     total | throughput (single x)
|--------------------:|--------------------:|--------:|----------:|:----------------------
|               42.27 |       23,656,270.89 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16`
|               89.75 |       11,141,788.36 |    0.1% |      0.24 | `F:ℝ²→ℝ³, D=16`
|              200.91 |        4,977,232.90 |    0.1% |      0.24 | `F:ℝ³→ℝ³, D=8`
|              127.58 |        7,838,416.58 |    0.0% |      0.24 | `F:ℝ³→ℝ⁴, D=8`
|               41.97 |       23,826,458.76 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 generic point`
|               41.99 |       23,815,203.06 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 canonical point`
|               42.23 |       23,680,220.94 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 array`
|               41.53 |       24,079,531.55 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 variadic`
|           43,725.61 |           22,869.89 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 manual loop`
|           20,541.91 |           48,680.96 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 canonical batch`
|           20,538.28 |           48,689.58 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 span batch`
|           43,689.39 |           22,888.85 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 generic loop`
|           41,959.52 |           23,832.50 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 container batch`
